supplier_code,supplier_desc,exclsv,normal_payterms,credit_limit
002,DR,Y,0,0
003,V.I.P.,Y,0,0
004,DEPT STORES RFC,Y,0,0
005,DR DEC02,Y,0,0
006,DR 2002 purch order july02,Y,90,0
007,DR - SEPT 02,Y,90,0
008,DR Sg shipment May 2001,Y,0,0
009,DR june 2002,Y,0,0
010,DR AUGUST 2001 SHIPMENT,Y,0,0
011,DR - SHIPMENT NOV 2001/2,Y,0,0
012,DR JAN 02 AIR SHIP,Y,0,0
014,DR FEB 02 SEAFREIGHT,Y,0,0
015,SOUTH CHINA,Y,0,0
999999,Unknown,N,0,0
ADAG01,ADVERTISING PURCHASES,Y,0,0
DCF001,DC FORWARDING,Y,0,0
GLOB01,GLOBAL INTERNET ACCESS,Y,0,0
LETH01,LETH TRADING (PTY) LTD,Y,0,0
MADE01,MADE,Y,0,0
MD01,MDPLASTICS (Pty) Ltd,Y,0,0
PG001,PG MANUFACTURERS,Y,0,0
ROY001,ROYAL CO.,Y,0,0
