prodcat_code,prodcat_desc,brand_code,pran_code
0,Unknown,6,2
1,Parts,7,1
2,Products,7,3
3,Parts,9,1
4,Products,9,3
5,Parts,2,1
6,Products,2,3
7,Parts,8,1
8,Products,8,3
9,SAMPLES,6,2
10,LAST OF RANGE,6,2
11,Parts,6,2
13,Parts,6,2
14,Products,3,3
15,Packaging,6,2
16,PROMOTIONAL GOODS,6,2
17,Parts,6,2
18,Products,6,2
19,Products,3,1
20,Products,5,3
21,VIP,6,2
22,legal costs,6,2
23,Products,5,1
24,Products,1,3
25,Admin fees postage / courier,6,2
26,2018,7,3
27,2019,7,3
28,2018,8,3
29,2019,8,3
30,2018,3,3
31,2019,3,3
32,2018,5,3
33,2019,5,3
34,01/02/,5,1
35,2018,7,1
36,2019,7,1
37,2018,8,1
38,2019,8,1
39,2018,3,1
40,2019,3,1
41,2018/1,7,1
42,2019,7,1
43,2000 +,7,3
44,2017+,7,1
45,2017+,8,3
46,2017+,8,1
47,2017+,3,3
48,2017+,3,1
49,2017+,5,3
50,2017+,5,1
51,02/03,7,1
52,Products,4,3
53,02/03,7,3
54,2003,7,3
95,SALE,1,3
96,SALE,7,3
97,SALE,3,3
98,SALE,8,3
99,SALE,5,3
100,DISCONTINUED,6,2
